PEJVOにあってvortaro.tsvにない語根: 2730個

語根リスト(例単語付き):
a-vort	# PEJVO例: a-vort/o
ekzoterm	# PEJVO例: ekzoterm/a
el inter	# PEJVO例: el inter
el sub	# PEJVO例: el sub
el-	# PEJVO例: el-
elatr	# PEJVO例: elatr/o
eldon	# PEJVO例: eldon/fak/o
elipsoid	# PEJVO例: elipsoid/o
elize	# PEJVO例: elize/a
embol	# PEJVO例: embol/o
emboloz	# PEJVO例: emboloz/o
embriogenez	# PEJVO例: embriogenez/o
embriogeni	# PEJVO例: embriogeni/o
embriolog	# PEJVO例: embriolog/o
emerg^	# PEJVO例: emerg^/a angul/o
emerĝ	# PEJVO例: emerĝ/a
eminenc	# PEJVO例: eminenc/o
empenal	# PEJVO例: empenal/o
empirism	# PEJVO例: empirism/o
empirist	# PEJVO例: empirist/o
en-	# PEJVO例: en-
en- kaj ekster-land	# PEJVO例: en- kaj ekster-land/e
enad	# PEJVO例: enad/o
enantem	# PEJVO例: enantem/o
encefalit	# PEJVO例: encefalit/o
encefalopati	# PEJVO例: encefalopati/o
endo	# PEJVO例: endo/skop/o
endokard	# PEJVO例: endokard/o
endokardit	# PEJVO例: endokardit/o
endometrit	# PEJVO例: endometrit/o
endos	# PEJVO例: endos/i
energetik	# PEJVO例: energetik/o
engag^	# PEJVO例: engag^/i
engl	# PEJVO例: engl/o
engrau^l	# PEJVO例: engrau^l/o
enorm	# PEJVO例: enorm/a
entalpi	# PEJVO例: entalpi/o
entozo	# PEJVO例: entozo/o
eparh^i	# PEJVO例: eparh^i/o
ependim	# PEJVO例: ependim/o
ependimit	# PEJVO例: ependimit/o
epidemiologi	# PEJVO例: epidemiologi/a esplor/o
epifor	# PEJVO例: epifor/o
epigin	# PEJVO例: epigin/a
epikur	# PEJVO例: epikur/a
erbin	# PEJVO例: erbin/o
ergograf	# PEJVO例: ergograf/o
ergologi	# PEJVO例: ergologi/o
ergometr	# PEJVO例: ergometr/o
eriobotri	# PEJVO例: eriobotri/o
eritrocit	# PEJVO例: eritrocit/o
eritrozin	# PEJVO例: eritrozin/o
es^afod	# PEJVO例: es^afod/o
eskadron	# PEJVO例: eskadron/o
eskalator	# PEJVO例: eskalator/o
esp-ist	# PEJVO例: esp-ist/o
esp.	# PEJVO例: esp.
esperantolog	# PEJVO例: esperantolog/o
esperantologi	# PEJVO例: esperantologi/a
estragon	# PEJVO例: estragon/o
etag^	# PEJVO例: etag^/ig/i
etag^er	# PEJVO例: etag^er/o
etanol	# PEJVO例: etanol/o
etilen	# PEJVO例: etilen/o
etnograf	# PEJVO例: etnograf/o
etnografi	# PEJVO例: etnografi/o
etnolog	# PEJVO例: etnolog/o
etnologi	# PEJVO例: etnologi/o
eu^diometr	# PEJVO例: eu^diometr/o
eu^diometri	# PEJVO例: eu^diometri/o
eu^femism	# PEJVO例: eu^femism/a
eu^forbi	# PEJVO例: eu^forbi/o
eu^forbiac	# PEJVO例: eu^forbiac/oj
eu^genik	# PEJVO例: eu^genik/o
eu^kalipt	# PEJVO例: eu^kalipt/o
eu^karisti	# PEJVO例: eu^karisti/o
eu^klid	# PEJVO例: eu^klid/a geometri/o
eu^nuk	# PEJVO例: eu^nuk/o
eu^r	# PEJVO例: eu^r/o
eu^rop	# PEJVO例: eu^rop/a
eu^roparlament	# PEJVO例: eu^roparlament/an/o
eu^ropi	# PEJVO例: eu^ropi/o
eu^sk	# PEJVO例: eu^sk/a lingv/o
eu^tanazi	# PEJVO例: eu^tanazi/i
eu^trof	# PEJVO例: eu^trof/a
ezofagit	# PEJVO例: ezofagit/o
eĥ	# PEJVO例: eĥ/il/o
eĥidn	# PEJVO例: eĥidn/o
eĥin	# PEJVO例: eĥin/o
eĥinoderm	# PEJVO例: eĥinoderm/oj
eŭfori	# PEJVO例: eŭfori/a
eŭfrazi	# PEJVO例: eŭfrazi/o
eŭgenik	# PEJVO例: eŭgenik/ism/o
eŭkaristi	# PEJVO例: eŭkaristi/a
eŭpatori	# PEJVO例: eŭpatori/o
eŭsk	# PEJVO例: eŭsk/a
eŭtanazi	# PEJVO例: eŭtanazi/a
fabac	# PEJVO例: fabac/oj
facet	# PEJVO例: facet/i
fagocitoz	# PEJVO例: fagocitoz/o
fakoc^er	# PEJVO例: fakoc^er/o
faktori	# PEJVO例: faktori/o
falc^	# PEJVO例: falc^/ad/o
falĉ	# PEJVO例: falĉ/aĵ/o
fan	# PEJVO例: fan/o
farbit	# PEJVO例: farbit/o
farc^	# PEJVO例: farc^/i
farenhejt	# PEJVO例: farenhejt/a
faringit	# PEJVO例: faringit/o
fas^ism	# PEJVO例: fas^ism/o
fas^ist	# PEJVO例: fas^ist/o
fasc^in	# PEJVO例: fasc^in/i
fatsi	# PEJVO例: fatsi/o
fau^k	# PEJVO例: fau^k/i
fau^l	# PEJVO例: fau^l/i
fau^n	# PEJVO例: fau^n/o
fec^	# PEJVO例: fec^/o
federal	# PEJVO例: federal/a
felandri	# PEJVO例: felandri/o
felic^	# PEJVO例: felic^/a
felised	# PEJVO例: felised/oj
feliĉ	# PEJVO例: feliĉ/eg/a
feloid	# PEJVO例: feloid/oj
femural	# PEJVO例: femural/o
fenomenologi	# PEJVO例: fenomenologi/o
ferik	# PEJVO例: ferik/a
fermion	# PEJVO例: fermion/o
feromagnet	# PEJVO例: feromagnet/a
feromon	# PEJVO例: feromon/o
ferotipi	# PEJVO例: ferotipi/o
feroz	# PEJVO例: feroz/a
fetic^	# PEJVO例: fetic^/ism/o
fetiĉ	# PEJVO例: fetiĉ/ist/o
feu^d	# PEJVO例: feu^d/a
feĉ	# PEJVO例: feĉ/a
feŭd	# PEJVO例: feŭd/ec/o
fi-	# PEJVO例: fi-
fianc^	# PEJVO例: fianc^/amik/o
fianĉ	# PEJVO例: fianĉ/a
fiktiv	# PEJVO例: fiktiv/a
filateli	# PEJVO例: filateli/o
filipin	# PEJVO例: filipin/an/o
filis^t	# PEJVO例: filis^t/o
fimbril	# PEJVO例: fimbril/o
firmvar	# PEJVO例: firmvar/o
fis^	# PEJVO例: fis^/ad/o
fisi	# PEJVO例: fisi/o
fiteŭm	# PEJVO例: fiteŭm/o
fitogeografi	# PEJVO例: fitogeografi/o
fitoterapi	# PEJVO例: fitoterapi/o
fiziografi	# PEJVO例: fiziografi/o
fiŝ	# PEJVO例: fiŝ/a
flag^olet	# PEJVO例: flag^olet/o
flakurti	# PEJVO例: flakurti/o
flang^	# PEJVO例: flang^/o
flau^n	# PEJVO例: flau^n/o
flau^r	# PEJVO例: flau^r/o
fluorid	# PEJVO例: fluorid/o
fluorit	# PEJVO例: fluorit/o
fo	# PEJVO例: fo
foladed	# PEJVO例: foladed/oj
fono	# PEJVO例: fono/skop/o
fonogram	# PEJVO例: fonogram/o
fonon	# PEJVO例: fonon/o
for-	# PEJVO例: for-
forg^	# PEJVO例: forg^/ad/o
formalin	# PEJVO例: formalin/o
fornel	# PEJVO例: fornel/o
forĝ	# PEJVO例: forĝ/o
fosf	# PEJVO例: fosf/o
fosforit	# PEJVO例: fosforit/o
fotind	# PEJVO例: fotind/a s^anc/o
frac^j	# PEJVO例: frac^j/o
franciskan	# PEJVO例: franciskan/o
frang^	# PEJVO例: frang^/i
franj	# PEJVO例: franj/o
franĝ	# PEJVO例: franĝ/ig/i
frau^d	# PEJVO例: frau^d/a bankrot/o
frau^l	# PEJVO例: frau^l/ec/o
fraŭd	# PEJVO例: fraŭd/iĝ/o
fraŭl	# PEJVO例: fraŭl/a
frekvencometr	# PEJVO例: frekvencometr/o
frenolog	# PEJVO例: frenolog/o
freon	# PEJVO例: freon/o
fres^	# PEJVO例: fres^/a
freu^d	# PEJVO例: freu^d/a
freŝ	# PEJVO例: freŝ/e
fromag^	# PEJVO例: fromag^/klos^/o
fromaĝ	# PEJVO例: fromaĝ/ej/o
fruntal	# PEJVO例: fruntal/o
ftizolog	# PEJVO例: ftizolog/o
ftizologi	# PEJVO例: ftizologi/o
fug^	# PEJVO例: fug^/i
fulmin	# PEJVO例: fulmin/i
fungus	# PEJVO例: fungus/o
furag^	# PEJVO例: furag^/i
fus^	# PEJVO例: fus^/a
fuzelag^	# PEJVO例: fuzelag^/o
fuzi	# PEJVO例: fuzi/o
fuĝ	# PEJVO例: fuĝ/ig/i
g^angal	# PEJVO例: g^angal/o
g^arden	# PEJVO例: g^arden/a
g^azband	# PEJVO例: g^azband/o
g^el	# PEJVO例: g^el/o
g^em	# PEJVO例: g^em/i
g^emel	# PEJVO例: g^emel/a
g^en	# PEJVO例: g^en/a
g^endarm	# PEJVO例: g^endarm/ar/o
g^eneral	# PEJVO例: g^eneral/a
g^enov	# PEJVO例: g^enov/an/ec/o
g^enr	# PEJVO例: g^enr/o
g^entil	# PEJVO例: g^entil/a
g^entleman	# PEJVO例: g^entleman/o
g^erm	# PEJVO例: g^erm/ad/o
g^erman	# PEJVO例: g^erman/a vo
g^et	# PEJVO例: g^et/kaj/o
g^i	# PEJVO例: g^i
g^ib	# PEJVO例: g^ib/a balen/o
g^ihad	# PEJVO例: g^ihad/o
g^in	# PEJVO例: g^in/o
g^inz	# PEJVO例: g^inz/o
g^ir	# PEJVO例: g^ir/ad/o
g^iraf	# PEJVO例: g^iraf/o
g^is	# PEJVO例: g^is
g^is kiam	# PEJVO例: g^is kiam
g^is nun	# PEJVO例: g^is nun
g^is-	# PEJVO例: g^is-
g^o	# PEJVO例: g^o
g^oj	# PEJVO例: g^oj/a
g^u	# PEJVO例: g^u/ad/o
g^ust	# PEJVO例: g^ust/a
gajakol	# PEJVO例: gajakol/o
gajlat	# PEJVO例: gajlat/a acid/o
galantin	# PEJVO例: galantin/o
galicism	# PEJVO例: galicism/o
galinul	# PEJVO例: galinul/o
galos^	# PEJVO例: galos^/o
galvaniz	# PEJVO例: galvaniz/i
gama	# PEJVO例: gama
gama-dis	# PEJVO例: gama-dis/er/ig^/o
gamas^	# PEJVO例: gamas^/o
gang	# PEJVO例: gang/o
garag^	# PEJVO例: garag^/i
gasometr	# PEJVO例: gasometr/o
gau^c^	# PEJVO例: gau^c^/o
gau^g^	# PEJVO例: gau^g^/i
gau^l	# PEJVO例: gau^l/o
gau^lt	# PEJVO例: gau^lt/o
gau^s	# PEJVO例: gau^s/o
gavi	# PEJVO例: gavi/o
gaŭlteri	# PEJVO例: gaŭlteri/o
gaŭr	# PEJVO例: gaŭr/o
ge-	# PEJVO例: ge-
gejs^	# PEJVO例: gejs^/o
gejŝ	# PEJVO例: gejŝ/ej/o
geloz	# PEJVO例: geloz/o
general-	# PEJVO例: general-/leu^tenant/o
generator	# PEJVO例: generator/o
genom	# PEJVO例: genom/o
geometred	# PEJVO例: geometred/oj
georgin	# PEJVO例: georgin/o
gett	# PEJVO例: gett/o
gic^et	# PEJVO例: gic^et/o
giga	# PEJVO例: giga/elektr/on/volt/o
giga-	# PEJVO例: giga-
gigabajt	# PEJVO例: gigabajt/o
gigaherc	# PEJVO例: gigaherc/o
gigavat	# PEJVO例: gigavat/o
gilbert	# PEJVO例: gilbert/o
gilos^	# PEJVO例: gilos^/ad/o
gine	# PEJVO例: gine/o
gingivit	# PEJVO例: gingivit/o
gink	# PEJVO例: gink/o
ginostem	# PEJVO例: ginostem/o
giro	# PEJVO例: giro/skop/a kompas/o
glau^ci	# PEJVO例: glau^ci/o
glau^konit	# PEJVO例: glau^konit/o
glaĉer	# PEJVO例: glaĉer/o
glaŭkom	# PEJVO例: glaŭkom/o
gld.	# PEJVO例: gld.
glicerid	# PEJVO例: glicerid/o
gliceril	# PEJVO例: gliceril/o
glicerol	# PEJVO例: glicerol/o
globul	# PEJVO例: globul/o
go	# PEJVO例: go
gobang	# PEJVO例: gobang/o
gorg^	# PEJVO例: gorg^/a
gorĝ	# PEJVO例: gorĝ/et/o
grafen	# PEJVO例: grafen/o
grafiti	# PEJVO例: grafiti/o
grafospasm	# PEJVO例: grafospasm/o
graj	# PEJVO例: graj/o
grajp	# PEJVO例: grajp/o
gramenac	# PEJVO例: gramenac/oj
gramine	# PEJVO例: gramine/oj
granol	# PEJVO例: granol/o
gratif	# PEJVO例: gratif/i
gratifikaci	# PEJVO例: gratifikaci/o
gros^	# PEJVO例: gros^/o
groŝ	# PEJVO例: groŝ/a
guas^	# PEJVO例: guas^/o
guaŝ	# PEJVO例: guaŝ/i
gulag	# PEJVO例: gulag/o
gulas^	# PEJVO例: gulas^/o
gurk	# PEJVO例: gurk/o
gus^	# PEJVO例: gus^/o
gvajakol	# PEJVO例: gvajakol/o
gval	# PEJVO例: gval/o
gvine	# PEJVO例: gvine/an/o
h^alde	# PEJVO例: h^alde/o
h^ameleon	# PEJVO例: h^ameleon/o
h^an	# PEJVO例: h^an/o
h^aos	# PEJVO例: h^aos/a
h^emi	# PEJVO例: h^emi/o
h^etid	# PEJVO例: h^etid/oj
h^imer	# PEJVO例: h^imer/a
h^in	# PEJVO例: h^in/o
h^irurg	# PEJVO例: h^irurg/o
h^irurgi	# PEJVO例: h^irurgi/o
h^mer	# PEJVO例: h^mer/o
h^o	# PEJVO例: h^o
h^oler	# PEJVO例: h^oler/o
h^or	# PEJVO例: h^or/aj^/o
h^ore	# PEJVO例: h^ore/o
ha ha ha	# PEJVO例: ha ha ha
habitat	# PEJVO例: habitat/o
habsburg	# PEJVO例: habsburg/a
hadron	# PEJVO例: hadron/o
hag^	# PEJVO例: hag^/o
half	# PEJVO例: half/o
haliĥer	# PEJVO例: haliĥer/o
halogenid	# PEJVO例: halogenid/o
haloo	# PEJVO例: haloo
halucinaci	# PEJVO例: halucinaci/o
hamburger	# PEJVO例: hamburger/o
han	# PEJVO例: han/o
hangul	# PEJVO例: hangul/o
hanifit	# PEJVO例: hanifit/a skol/o
hardvar	# PEJVO例: hardvar/o
harpal	# PEJVO例: harpal/o
harpaled	# PEJVO例: harpaled/oj
has^is^	# PEJVO例: has^is^/ism/o
hau^biz	# PEJVO例: hau^biz/o
hau^l	# PEJVO例: hau^l/i
hau^t	# PEJVO例: hau^t/eg/o
havaj	# PEJVO例: havaj/a
haĉ	# PEJVO例: haĉ/ad/o
haŭt	# PEJVO例: haŭt/a
he ho	# PEJVO例: he ho
heg^	# PEJVO例: heg^/o
heg^ir	# PEJVO例: heg^ir/o
hegel	# PEJVO例: hegel/ism/o
heksaedr	# PEJVO例: heksaedr/o
hektar	# PEJVO例: hektar/o
hekto-	# PEJVO例: hekto-
hektogram	# PEJVO例: hektogram/o
hektolitr	# PEJVO例: hektolitr/o
hektometr	# PEJVO例: hektometr/o
hektopaskal	# PEJVO例: hektopaskal/o
hemerokalid	# PEJVO例: hemerokalid/o
henr	# PEJVO例: henr/o
hepatikopsid	# PEJVO例: hepatikopsid/oj
hepatit	# PEJVO例: hepatit/o
hermet	# PEJVO例: hermet/a
hermini	# PEJVO例: hermini/o
hes	# PEJVO例: hes/o
hidrange	# PEJVO例: hidrange/o
hidrau^lik	# PEJVO例: hidrau^lik/a
hidroaeroplan	# PEJVO例: hidroaeroplan/o
hidrodinamik	# PEJVO例: hidrodinamik/o
hidroelektr	# PEJVO例: hidroelektr/a
hidrofobi	# PEJVO例: hidrofobi/o
hidrokarbid	# PEJVO例: hidrokarbid/o
hidrokarbon	# PEJVO例: hidrokarbon/o
hidroksid	# PEJVO例: hidroksid/o
hidrometr	# PEJVO例: hidrometr/o
hidrometri	# PEJVO例: hidrometri/o
hidrostatik	# PEJVO例: hidrostatik/a prem/o
hidroterapi	# PEJVO例: hidroterapi/o
hierarh^i	# PEJVO例: hierarh^i/o
hierau^	# PEJVO例: hierau^
hierau^ nokt	# PEJVO例: hierau^ nokt/e
hierau^ vesper	# PEJVO例: hierau^ vesper/e
hig^ab	# PEJVO例: hig^ab/o
higr	# PEJVO例: higr/o/metr/o
hilel	# PEJVO例: hilel/ism/o
himalaj	# PEJVO例: himalaj/a cedr/o
hinajan	# PEJVO例: hinajan/o
hindi	# PEJVO例: hindi/a
hindoc^in	# PEJVO例: hindoc^in/a
hiperboloid	# PEJVO例: hiperboloid/o
hiperemi	# PEJVO例: hiperemi/o
hiperonim	# PEJVO例: hiperonim/o
hipocikloid	# PEJVO例: hipocikloid/o
hipoh^ondri	# PEJVO例: hipoh^ondri/o
hipokas^tan	# PEJVO例: hipokas^tan/o
hiponim	# PEJVO例: hiponim/o
hipotensi	# PEJVO例: hipotensi/o
hipsipet	# PEJVO例: hipsipet/o
hipsometr	# PEJVO例: hipsometr/o
hipsometri	# PEJVO例: hipsometri/o
hitit	# PEJVO例: hitit/o
hitler	# PEJVO例: hitler/ism/o
hiziki	# PEJVO例: hiziki/o
ho ve	# PEJVO例: ho ve
hobit	# PEJVO例: hobit/o
hodiau^	# PEJVO例: hodiau^
hodiau^ maten	# PEJVO例: hodiau^ maten/e
hodiau^ vesper	# PEJVO例: hodiau^ vesper/e
hoj!	# PEJVO例: hoj!
hologram	# PEJVO例: hologram/o
holokau^st	# PEJVO例: holokau^st/o
homeogril	# PEJVO例: homeogril/o
horlog^	# PEJVO例: horlog^/bracelet/o
horloĝ	# PEJVO例: horloĝ/a
hot!	# PEJVO例: hot!
hoto!	# PEJVO例: hoto!
hotujni	# PEJVO例: hotujni/o
hungr	# PEJVO例: hungr/i
husum	# PEJVO例: husum/o
i-vort	# PEJVO例: i-vort/o
i.a.	# PEJVO例: i.a.
iam ajn	# PEJVO例: iam ajn
iam kaj iam	# PEJVO例: iam kaj iam
ic	# PEJVO例: ic/o
ideogram	# PEJVO例: ideogram/o
ideolog	# PEJVO例: ideolog/o
ig^	# PEJVO例: ig^/i
ih^tiokol	# PEJVO例: ih^tiokol/o
ih^tiosau^r	# PEJVO例: ih^tiosau^r/o
ikneŭmon	# PEJVO例: ikneŭmon/o
iktiosau^r	# PEJVO例: iktiosau^r/o
iktiosaŭr	# PEJVO例: iktiosaŭr/ul/oj
iliri	# PEJVO例: iliri/a
imagin	# PEJVO例: imagin/ig^/o
imperial	# PEJVO例: imperial/o
imperialism	# PEJVO例: imperialism/o
imperialist	# PEJVO例: imperialist/o
imperium	# PEJVO例: imperium/o
implod	# PEJVO例: implod/i
inau^gur	# PEJVO例: inau^gur/ad/o
inau^guraci	# PEJVO例: inau^guraci/o
inaŭgur	# PEJVO例: inaŭgur/a
indig^en	# PEJVO例: indig^en/a
indiga	# PEJVO例: indiga
indigo	# PEJVO例: indigo
indikator	# PEJVO例: indikator/o
individualism	# PEJVO例: individualism/o
individualist	# PEJVO例: individualist/o
indonezi	# PEJVO例: indonezi/a lingv/o
influenc	# PEJVO例: influenc/o
influk	# PEJVO例: influk/i
infrarug^	# PEJVO例: infrarug^/a
infrason	# PEJVO例: infrason/o
infrastruktur	# PEJVO例: infrastruktur/o
ing^eni	# PEJVO例: ing^eni/a
ing^enier	# PEJVO例: ing^enier/a
iniciator	# PEJVO例: iniciator/o
injektor	# PEJVO例: injektor/o
inka	# PEJVO例: inka/a
inkl.	# PEJVO例: inkl.
inocent	# PEJVO例: inocent/a
insekticid	# PEJVO例: insekticid/o
insolaci	# PEJVO例: insolaci/o
instep	# PEJVO例: instep/o
insurekci	# PEJVO例: insurekci/o
int.	# PEJVO例: int.
integral	# PEJVO例: integral/a
intensiv	# PEJVO例: intensiv/a
inter si	# PEJVO例: inter si
inter-	# PEJVO例: inter-
interferometr	# PEJVO例: interferometr/o
interferon	# PEJVO例: interferon/o
interlingvist	# PEJVO例: interlingvist/o
interlingvistik	# PEJVO例: interlingvistik/o
internau^t	# PEJVO例: internau^t/o
interval	# PEJVO例: interval/o
introvertit	# PEJVO例: introvertit/o
intu	# PEJVO例: intu/o
inuit	# PEJVO例: inuit/o
invari	# PEJVO例: invari/ant/o
inĝenier	# PEJVO例: inĝenier/ar/o
iom post iom	# PEJVO例: iom post iom
ionik	# PEJVO例: ionik/a kapitel/o
irak	# PEJVO例: irak/an/o
iran	# PEJVO例: iran/a
irland	# PEJVO例: irland/a
is-temp	# PEJVO例: is-temp/o
island	# PEJVO例: island/a
israel	# PEJVO例: israel/a
itiner	# PEJVO例: itiner/o
izentrop	# PEJVO例: izentrop/a
izodinam	# PEJVO例: izodinam/o
izokron	# PEJVO例: izokron/a
j^abot	# PEJVO例: j^abot/o
j^ak	# PEJVO例: j^ak/o
j^aket	# PEJVO例: j^aket/o
j^aluz	# PEJVO例: j^aluz/a
j^aluzi	# PEJVO例: j^aluzi/o
j^ambore	# PEJVO例: j^ambore/o
j^argon	# PEJVO例: j^argon/aj^/o
j^artel	# PEJVO例: j^artel/o
j^au^d	# PEJVO例: j^au^d/a
j^az	# PEJVO例: j^az/band/o
j^ele	# PEJVO例: j^ele/o
j^erz	# PEJVO例: j^erz/o
j^et	# PEJVO例: j^et/ad/o
j^eton	# PEJVO例: j^eton/o
j^ib	# PEJVO例: j^ib/o
j^ig	# PEJVO例: j^ig/o
j^ij^icikad	# PEJVO例: j^ij^icikad/o
j^inriks^	# PEJVO例: j^inriks^/o
j^ip	# PEJVO例: j^ip/o
j^o	# PEJVO例: j^o
j^oke	# PEJVO例: j^oke/o
j^ongl	# PEJVO例: j^ongl/ad/o
j^onk	# PEJVO例: j^onk/o
j^os	# PEJVO例: j^os/i
j^ud	# PEJVO例: j^ud/ej/estr/o
j^ul	# PEJVO例: j^ul/o
j^ur	# PEJVO例: j^ur/a
j^uras	# PEJVO例: j^uras/o
j^uri	# PEJVO例: j^uri/an/o
j^urnal	# PEJVO例: j^urnal/a dosier/o
j^us	# PEJVO例: j^us
jagi	# PEJVO例: jagi/a anten/o
jah^t	# PEJVO例: jah^t/o
jakut	# PEJVO例: jakut/o
jalap	# PEJVO例: jalap/o
jam de	# PEJVO例: jam de/long/e
janic^ar	# PEJVO例: janic^ar/o
jc	# PEJVO例: jc
je c^iu prez	# PEJVO例: je c^iu prez/o
jeti	# PEJVO例: jeti/o
jo	# PEJVO例: jo
jodid	# PEJVO例: jodid/o
jokan	# PEJVO例: jokan/o
jota	# PEJVO例: jota
ju mal	# PEJVO例: ju mal/pli
ju pli	# PEJVO例: ju pli
juan	# PEJVO例: juan/o
judaism	# PEJVO例: judaism/o
jug^	# PEJVO例: jug^/a
jugoslavi	# PEJVO例: jugoslavi/a
juĝ	# PEJVO例: juĝ/ad/i
k-do	# PEJVO例: k-do
k-et	# PEJVO例: k-et/o
k-o	# PEJVO例: k-o
k.a.	# PEJVO例: k.a.
k.c.	# PEJVO例: k.c.
k.s.	# PEJVO例: k.s.
k.t.p.	# PEJVO例: k.t.p.
kHz	# PEJVO例: kHz
kabaret	# PEJVO例: kabaret/o
kabil	# PEJVO例: kabil/o
kabuk	# PEJVO例: kabuk/o
kac^	# PEJVO例: kac^/ig/i
kac^alot	# PEJVO例: kac^alot/o
kag^	# PEJVO例: kag^/o
kaj ali	# PEJVO例: kaj ali/aj
kaj ceter	# PEJVO例: kaj ceter/aj
kaj simil	# PEJVO例: kaj simil/aj
kaj tiel plu	# PEJVO例: kaj tiel plu
kaj-sign	# PEJVO例: kaj-sign/o
kaj^ol	# PEJVO例: kaj^ol/a
kak	# PEJVO例: kak/i
kalandra	# PEJVO例: kalandra/o
kales^	# PEJVO例: kales^/aj^/o
kaleŝ	# PEJVO例: kaleŝ/aĵ/ist/o
kaliforni	# PEJVO例: kaliforni/o
kalikl	# PEJVO例: kalikl/a
kalorimetr	# PEJVO例: kalorimetr/o
kalorimetri	# PEJVO例: kalorimetri/o
kalvari	# PEJVO例: kalvari/a voj/o
kalvin	# PEJVO例: kalvin/an/o
kamabok	# PEJVO例: kamabok/o
kambog^	# PEJVO例: kambog^/an/o
kambri	# PEJVO例: kambri/o
kampanet	# PEJVO例: kampanet/o
kampec^	# PEJVO例: kampec^/o
kana	# PEJVO例: kana/o
kanaan	# PEJVO例: kanaan/id/o
kanacikad	# PEJVO例: kanacikad/o
kanad	# PEJVO例: kanad/a
kanak	# PEJVO例: kanak/o
kanal	# PEJVO例: kanal/et/o
kanaliz	# PEJVO例: kanaliz/i
kancional	# PEJVO例: kancional/o
kanistr	# PEJVO例: kanistr/o
kantil	# PEJVO例: kantil/o
kanton	# PEJVO例: kanton/o
kapitul	# PEJVO例: kapitul/o
kapuc^	# PEJVO例: kapuc^/i
kapuc^in	# PEJVO例: kapuc^in/o
karaoke	# PEJVO例: karaoke/o
karbonat	# PEJVO例: karbonat/a acid/o
karboni	# PEJVO例: karboni/o
karib	# PEJVO例: karib/a
kariofilac	# PEJVO例: kariofilac/oj
karit	# PEJVO例: karit/o
karmel	# PEJVO例: karmel/an/o
kartoc^	# PEJVO例: kartoc^/bend/o
kartus^	# PEJVO例: kartus^/o
kartuzi	# PEJVO例: kartuzi/an/a likvor/o
kas^	# PEJVO例: kas^/e
kas^tan	# PEJVO例: kas^tan/arb/o
kasket	# PEJVO例: kasket/o
kastili	# PEJVO例: kastili/a lingv/o
katalau^n	# PEJVO例: katalau^n/o
kateh^ism	# PEJVO例: kateh^ism/o
kateh^ist	# PEJVO例: kateh^ist/o
kateh^iz	# PEJVO例: kateh^iz/i
kateĉu	# PEJVO例: kateĉu/o
katgut	# PEJVO例: katgut/a kord/o
kau^c^uk	# PEJVO例: kau^c^uk/a
kau^ci	# PEJVO例: kau^ci/i
kau^r	# PEJVO例: kau^r/e
kau^stik	# PEJVO例: kau^stik/a
kau^ter	# PEJVO例: kau^ter/i
kau^teriz	# PEJVO例: kau^teriz/aj^/o
kau^z	# PEJVO例: kau^z/ec/o
kazah^	# PEJVO例: kazah^/o
kazuar	# PEJVO例: kazuar/o
kazuist	# PEJVO例: kazuist/o
kazuistik	# PEJVO例: kazuistik/o
kaĵol	# PEJVO例: kaĵol/ad/o
kaŝ	# PEJVO例: kaŝ/a
kaŝtan	# PEJVO例: kaŝtan/brun/a
kaŭstik	# PEJVO例: kaŭstik/o
kaŭter	# PEJVO例: kaŭter/ad/o
kaŭz	# PEJVO例: kaŭz/a
kebab	# PEJVO例: kebab/o
kec^u	# PEJVO例: kec^u/a lingv/o
kec^up	# PEJVO例: kec^up/o
kejns	# PEJVO例: kejns/ism/o
keloid	# PEJVO例: keloid/o
kelvin	# PEJVO例: kelvin/o
kenj	# PEJVO例: kenj/an/o
kenopodi	# PEJVO例: kenopodi/o
kenozoik	# PEJVO例: kenozoik/o
kermes	# PEJVO例: kermes/o
kiberspac	# PEJVO例: kiberspac/o
kic^	# PEJVO例: kic^/a
kidnap	# PEJVO例: kidnap/i
kiel antau^	# PEJVO例: kiel antau^/vid/it/e
kiel ebl	# PEJVO例: kiel ebl/e plej
kiel kutim	# PEJVO例: kiel kutim/e
kik	# PEJVO例: kik/i
kilo-	# PEJVO例: kilo-
kilobajt	# PEJVO例: kilobajt/o
kilobit	# PEJVO例: kilobit/o
kilocikl	# PEJVO例: kilocikl/o
kilogram	# PEJVO例: kilogram/fort/o
kiloherc	# PEJVO例: kiloherc/o
kilokalori	# PEJVO例: kilokalori/o
kilolitr	# PEJVO例: kilolitr/o
kilometr	# PEJVO例: kilometr/o
kiloom	# PEJVO例: kiloom/o
kilovat	# PEJVO例: kilovat/hor/o
kilovolt	# PEJVO例: kilovolt/o
kimc^i	# PEJVO例: kimc^i/o
kimer	# PEJVO例: kimer/o
kinetik	# PEJVO例: kinetik/o
kinu	# PEJVO例: kinu/o
kiril	# PEJVO例: kiril/a
kirlo	# PEJVO例: kirlo/frit/i
kirs^	# PEJVO例: kirs^/o
kiv	# PEJVO例: kiv/o
klac^	# PEJVO例: klac^/em/a
klak'	# PEJVO例: klak'
klau^n	# PEJVO例: klau^n/aj^/o
klau^str	# PEJVO例: klau^str/o
klau^z	# PEJVO例: klau^z/o
klaĉ	# PEJVO例: klaĉ/ist/in/o
klemat	# PEJVO例: klemat/o
klerikal	# PEJVO例: klerikal/a
klinometr	# PEJVO例: klinometr/o
klis^	# PEJVO例: klis^/aj^/o
