表示語	解析語
antozooj	antozooj
antraceno	antraceno
antrakinono	antrakinono
antrakozo	antrakozo
antrisko	antrisko
antro	antro
antropofagismo	antropofagismo
antropofago	antropofago
anturio	anturio
anuitato	anuitato
anurio	anurio
anuroj	anuroj
anuŝo	anuŝo
anzuarbo	anzuarbo
anzuo	anzuo
anzuujo	anzuujo
aortito	aortito
aoto	aoto
apatosaŭro	apatosaŭro
apeksa	apeksa
apekso	apekso
apendicektomio	apendicektomio
apendikularioj	apendikularioj
apepsio	apepsio
apercepti	apercepti
apercepto	apercepto
apetaloj	apetaloj
apetenco	apetenco
apiolo	apiolo
apioso	apioso
aplito	aplito
apocinacoj	apocinacoj
apocino	apocino
apodoformaj	apodoformaj
apoloĝo	apoloĝo
apomikso	apomikso
aponeŭrozo	aponeŭrozo
aposiopezo	aposiopezo
apotecio	apotecio
apretanto	apretanto
apretaĵo	apretaĵo
aproksimi	aproksimi
arabidopso	arabidopso
arabinozo	arabinozo
arabiso	arabiso
aragonito	aragonito
arahanto	arahanto
araknoidito	araknoidito
aramea	aramea
araneoidoj	araneoidoj
arbarizi	arbarizi
arbologio	arbologio
ardeedoj	ardeedoj
arekacoj	arekacoj
areknukso	areknukso
areko	areko
arenario	arenario
areola	areola
areolo	areolo
arganio	arganio
argemono	argemono
argilpetro	argilpetro
arginino	arginino
argiopo	argiopo
argironeto	argironeto
arida	arida
arilo	arilo
arino	arino
aritenoido	aritenoido
aritmetikilo	aritmetikilo
arkaa	arkaa
arkaaĵo	arkaaĵo
arkaiĝi	arkaiĝi
arkeano	arkeano
arkegonio	arkegonio
arkeoloĝo	arkeoloĝo
arkeozoiko	arkeozoiko
arketipo	arketipo
arkimandrito	arkimandrito
arkipelaĝo	arkipelaĝo
arkipteroj	arkipteroj
arkiteŭto	arkiteŭto
arkivolto	arkivolto
arkozo	arkozo
arkteo	arkteo
arktostafilo	arktostafilo
arkuso	arkuso
armadelo	armadelo
armadilidio	armadilidio
armilario	armilario
armorio	armorio
aromata	aromata
arondismento	arondismento
arsacetino	arsacetino
arsenido	arsenido
arsino	arsino
artefakto	artefakto
arteriektomio	arteriektomio
arteriito	arteriito
artokarpo	artokarpo
artralgio	artralgio
artro	artro
artrologio	artrologio
arumacoj	arumacoj
arumano	arumano
arundo	arundo
arunko	arunko
arĝentumo	arĝentumo
arĥaja	arĥaja
arĥipelaĝo	arĥipelaĝo
asbestozo	asbestozo
ascensio	ascensio
ascidioj	ascidioj
ascito	ascito
asdiko	asdiko
asembli	asembli
asidua	asidua
asindeto	asindeto
asiriologio	asiriologio
asistolio	asistolio
askaridozo	askaridozo
asklepiadacoj	asklepiadacoj
asko	asko
askomicetoj	askomicetoj
askomikotoj	askomikotoj
askorba	askorba
askujo	askujo
asonanĉo	asonanĉo
asparagino	asparagino
aspartato	aspartato
asparto	asparto
aspergilozo	aspergilozo
asperĝi	asperĝi
aspidistro	aspidistro
aspiko	aspiko
aspiratoro	aspiratoro
asplenio	asplenio
astenosfero	astenosfero
asteriedoj	asteriedoj
asterioidoj	asterioidoj
asterolino	asterolino
asterozooj	asterozooj
astilbo	astilbo
astreo	astreo
atamano	atamano
ataraksio	ataraksio
ateliero	ateliero
ateneo	ateneo
atenuilo	atenuilo
ateromo	ateromo
aterosklerozo	aterosklerozo
atikito	atikito
atlaŝo	atlaŝo
atmano	atmano
atmo	atmo
atmometro	atmometro
atmosferografio	atmosferografio
atmosferologio	atmosferologio
atonala	atonala
atrabilo	atrabilo
atrezio	atrezio
atribŭi	atribŭi
atricio	atricio
atropismo	atropismo
atropo	atropo
avenŭo	avenŭo
averoo	averoo
avicenio	avicenio
avikulario	avikulario
avinjo	avinjo
avio	avio
avitaminozo	avitaminozo
aza	aza
azarolo	azarolo
azelo	azelo
azeotropo	azeotropo
azido	azido
azidotimidino	azidotimidino
azimeno	azimeno
azoa	azoa
azoiko	azoiko
azoksio	azoksio
azolo	azolo
azoo	azoo
azotemio	azotemio
azoturio	azoturio
azteko	azteko
azuleĥo	azuleĥo
aĥerontio	aĥerontio
aĥi	aĥi
aŝaro	aŝaro
aŭbado	aŭbado
aŭbrietio	aŭbrietio
aŭdienĉo	aŭdienĉo
aŭditoro	aŭditoro
aŭgito	aŭgito
aŭgmentativo	aŭgmentativo
aŭgmento	aŭgmento
aŭgustenano	aŭgustenano
aŭkedoj	aŭkedoj
aŭksino	aŭksino
aŭksotrofa	aŭksotrofa
aŭkubo	aŭkubo
aŭkumeo	aŭkumeo
aŭrelio	aŭrelio
aŭriko	aŭriko
aŭrikulario	aŭrikulario
aŭripigmento	aŭripigmento
aŭstera	aŭstera
aŭstrala	aŭstrala
aŭstralopiteko	aŭstralopiteko
aŭtarkio	aŭtarkio
aŭtigena	aŭtigena
aŭtogamio	aŭtogamio
aŭtogena	aŭtogena
aŭtomorfio	aŭtomorfio
aŭtosomo	aŭtosomo
aŭtotrofa	aŭtotrofa
baci	baci
baco	baco
bagno	bagno
bagro	bagro
bajronismo	bajronismo
bakango	bakango
baktericida	baktericida
baktericido	baktericido
bakteriofaĝo	bakteriofaĝo
bakŝiŝo	bakŝiŝo
balafono	balafono
balanito	balanito
balantidio	balantidio
balato	balato
balenedoj	balenedoj
balenopteredoj	balenopteredoj
balenoptero	balenoptero
baloteo	baloteo
balzaminacoj	balzaminacoj
bambuzo	bambuzo
banderilo	banderilo
bandoliero	bandoliero
bangificoj	bangificoj
bangio	bangio
bangioficoj	bangioficoj
bantua	bantua
banusejo	banusejo
banuslando	banuslando
banuso	banuso
baptanino	baptanino
baptisterio	baptisterio
baptujo	baptujo
barbadenbero	barbadenbero
barbadeno	barbadeno
barbakano	barbakano
barbio	barbio
barbitono	barbitono
barbitura	barbitura
barbituraĵo	barbituraĵo
barbiturismo	barbiturismo
barbituro	barbituro
bariono	bariono
barumo	barumo
barzojo	barzojo
basiero	basiero
batava	batava
batokroma	batokroma
batolito	batolito
batometrio	batometrio
batometro	batometro
batui	batui
batuisto	batuisto
batuo	batuo
bavuro	bavuro
bazamento	bazamento
bazidimicetoj	bazidimicetoj
bazidimikotoj	bazidimikotoj
bazidio	bazidio
bazidiomicetoj	bazidiomicetoj
bazidiomikotoj	bazidiomikotoj
bazidiujo	bazidiujo
bazoĉo	bazoĉo
baŝkiro	baŝkiro
baŝliko	baŝliko
baŝo	baŝo
baŭhinio	baŭhinio
bearnezo	bearnezo
bedelio	bedelio
begamo	begamo
behaviorismo	behaviorismo
bei	bei
beja	beja
bejo	bejo
bekabungo	bekabungo
bekeŝo	bekeŝo
belemnitoj	belemnitoj
beliso	beliso
belono	belono
belonoformaj	belonoformaj
beloto	beloto
belĝo	belĝo
bemerio	bemerio
benta	benta
bentano	bentano
bento	bento
bentulo	bentulo
benzidino	benzidino
benzilo	benzilo
benzo	benzo
benzodiazepino	benzodiazepino
benzoili	benzoili
benzoilo	benzoilo
bermo	bermo
bernardanoj	bernardanoj
berserko	berserko
bertoletio	bertoletio
bestia	bestia
bestio	bestio
bezoaroj	bezoaroj
beŝamelo	beŝamelo
bi	bi
biasa	biasa
biasi	biasi
biaso	biaso
bidento	bidento
bielo	bielo
bienalo	bienalo
bierumi	bierumi
bifaco	bifaco
bifadena	bifadena
bifenilo	bifenilo
bifida	bifida
bifilara	bifilara
bigarado	bigarado
bigaradujo	bigaradujo
bigarelarbo	bigarelarbo
bigarelo	bigarelo
bigarelujo	bigarelujo
bignonio	bignonio
bikso	bikso
bilabialo	bilabialo
bilanĉo	bilanĉo
bilharziozo	bilharziozo
bimetala	bimetala
biocido	biocido
bioloĝo	bioloĝo
biometrio	biometrio
biomo	biomo
bionto	bionto
biopsio	biopsio
biotino	biotino
biotito	biotito
birgo	birgo
bisako	bisako
biskutelo	biskutelo
bismutato	bismutato
bistorto	bistorto
bitniko	bitniko
bitumoza	bitumoza
biureto	biureto
bizanto	bizanto
bizo	bizo
biĵuterio	biĵuterio
blablai	blablai
blakbaso	blakbaso
blamanĝo	blamanĝo
blapto	blapto
blastemo	blastemo
blasto	blasto
blastocero	blastocero
blastodermo	blastodermo
blastomiceto	blastomiceto
blastomicetoj	blastomicetoj
blastomicetozo	blastomicetozo
blastulo	blastulo
blatuloj	blatuloj
blazego	blazego
blaziga	blaziga
blazo	blazo
blefarito	blefarito
blenioidoj	blenioidoj
bletio	bletio
blezi	blezi
blinki	blinki
blinkigi	blinkigi
blinkilo	blinkilo
blinko	blinko
blino	blino
blizardo	blizardo
bluso	bluso
bluti	bluti
boaĉo	boaĉo
bobo	bobo
bobolinko	bobolinko
bodonio	bodonio
bogomilano	bogomilano
bogomilismo	bogomilismo
bojaro	bojaro
bokaĉeska	bokaĉeska
boksero	boksero
bokŝi	bokŝi
boldino	boldino
boldo	boldo
boletacoj	boletacoj
bolometro	bolometro
bombako	bombako
bombeno	bombeno
bombinatoro	bombinatoro
bonedo	bonedo
bongoj	bongoj
bonifiko	bonifiko
bonito	bonito
bonsajo	bonsajo
bonto	bonto
bopo	bopo
bopso	bopso
boragacoj	boragacoj
borano	borano
borborigmo	borborigmo
borduna	borduna
borduno	borduno
boreala	boreala
borelio	borelio
borneolo	borneolo
borpinto	borpinto
bosanovo	bosanovo
bosaĵo	bosaĵo
boselafo	boselafo
bosi	bosi
boso	boso
bostriko	bostriko
bosvelio	bosvelio
botanikumi	botanikumi
botargo	botargo
botrito	botrito
bovedoj	bovedoj
bovisteo	bovisteo
bradikardio	bradikardio
bradipedoj	bradipedoj
bradipepsio	bradipepsio
brahmoo	brahmoo
brakino	brakino
brakiopodoj	brakiopodoj
brankiopodoj	brankiopodoj
brankiostomo	brankiostomo
branĉido	branĉido
braĉo	braĉo
braĥino	braĥino
braĥiuro	braĥiuro
bregmo	bregmo
bremŝo	bremŝo
breveto	breveto
brevo	brevo
brezaĵo	brezaĵo
brezi	brezi
brezujo	brezujo
breĉio	breĉio
brifitoj	brifitoj
brikabrako	brikabrako
brio	brio
briopsidoj	briopsidoj
briozooj	briozooj
brioĉo	brioĉo
brisuro	brisuro
brisurumita	brisurumita
britona	britona
brokatelo	brokatelo
bromelio	bromelio
bromuso	bromuso
bronkoskopio	bronkoskopio
bronkoskopo	bronkoskopo
brosmo	brosmo
brucelozoj	brucelozoj
brucino	brucino
bruliva	bruliva
brumo	brumo
brunfelsio	brunfelsio
brunjono	brunjono
brusonetio	brusonetio
brutte	brutte
buadi	buadi
budleo	budleo
bufono	bufono
buftalmo	buftalmo
buglo	buglo
bugri	bugri
bujabeso	bujabeso
bukcinatoro	bukcinatoro
bukmekro	bukmekro
bukoliko	bukoliko
bukorako	bukorako
bukŝo	bukŝo
bulimio	bulimio
bullo	bullo
bungaro	bungaro
bupleŭro	bupleŭro
bupresto	bupresto
burasko	burasko
burgo	burgo
burjato	burjato
burko	burko
burnuŝo	burnuŝo
burseracoj	burseracoj
bursero	bursero
bursito	bursito
burso	burso
but	but
butadieno	butadieno
butanono	butanono
buteno	buteno
butino	butino
butomo	butomo
buĝio	buĝio
buĥto	buĥto
cebedoj	cebedoj
cebo	cebo
cecidomio	cecidomio
cefala	cefala
cefalaspido	cefalaspido
cefalaspidoformaj	cefalaspidoformaj
cefalaspidomorfoj	cefalaspidomorfoj
cefaleo	cefaleo
cefalo	cefalo
ceibo	ceibo
celaro	celaro
celeco	celeco
celentero	celentero
celestito	celestito
celesto	celesto
celobiozo	celobiozo
celomo	celomo
celomuloj	celomuloj
celtido	celtido
cenobito	cenobito
cenocito	cenocito
censi	censi
censisto	censisto
centaŭrio	centaŭrio
centifolio	centifolio
centilo	centilo
centipelio	centipelio
centraliza	centraliza
centrifugado	centrifugado
centriolo	centriolo
centromero	centromero
centrosomo	centrosomo
centuriestro	centuriestro
centurio	centurio
cenzoro	cenzoro
cepolo	cepolo
cerambikedoj	cerambikedoj
cerambiko	cerambiko
ceramio	ceramio
cerastio	cerastio
ceratino	ceratino
ceratofilo	ceratofilo
ceratonio	ceratonio
cerbatano	cerbatano
cercidifilo	cercidifilo
cercido	cercido
cerebro	cerebro
cerkario	cerkario
cerkopitekedoj	cerkopitekedoj
cerkopiteko	cerkopiteko
certio	certio
ceruzito	ceruzito
cervelaso	cervelaso
cesto	cesto
cestodoj	cestodoj
cestro	cestro
ceterako	ceterako
cetilo	cetilo
cetrario	cetrario
cezalpinio	cezalpinio
cezara	cezara
cezari	cezari
cgs	cgs
cianato	cianato
cianeo	cianeo
cianfitoj	cianfitoj
cianhidrino	cianhidrino
cianofitoj	cianofitoj
cianokobalamino	cianokobalamino
cianorato	cianorato
cianorito	cianorito
cianozo	cianozo
cianuro	cianuro
ciborio	ciborio
cicoida	cicoida
cifoskoliozo	cifoskoliozo
cifozo	cifozo
cikadomorfoj	cikadomorfoj
cikaso	cikaso
ciklometria	ciklometria
ciklosporino	ciklosporino
ciklostomoj	ciklostomoj
ciliaro	ciliaro
ciliuloj	ciliuloj
cimbalario	cimbalario
cimbidio	cimbidio
cimbopogono	cimbopogono
cimbro	cimbro
cimicifugo	cimicifugo
cimitaro	cimitaro
cinamalo	cinamalo
cinamomo	cinamomo
cinaro	cinaro
cindropetro	cindropetro
cingulo	cingulo
cinipedoj	cinipedoj
cinipo	cinipo
cinkledoj	cinkledoj
cinocefalo	cinocefalo
cinodonto	cinodonto
cinogloso	cinogloso
cinozuro	cinozuro
cintri	cintri
cintro	cintro
cinturo	cinturo
cipero	cipero
cipo	cipo
cipreo	cipreo
ciprinedoj	ciprinedoj
cipripedio	cipripedio
circeo	circeo
cirkaeto	cirkaeto
cirkonvalacio	cirkonvalacio
cirkumflekŝo	cirkumflekŝo
cirsio	cirsio
cisteino	cisteino
cisticerko	cisticerko
cisticerkozo	cisticerkozo
cistino	cistino
cistocelo	cistocelo
cistopterido	cistopterido
cistrono	cistrono
citino	citino
citofilakto	citofilakto
citokinino	citokinino
citokromo	citokromo
citologio	citologio
citologo	citologo
citoskeleto	citoskeleto
citosolo	citosolo
citotropa	citotropa
citozino	citozino
citozo	citozo
citralo	citralo
citrolino	citrolino
citronelalo	citronelalo
citronelo	citronelo
ciumi	ciumi
civetikto	civetikto
ciĉo	ciĉo
cumeca	cumeca
cumo	cumo
dabi	dabi
dabingo	dabingo
dadaisto	dadaisto
dagerotipio	dagerotipio
dajmonismo	dajmonismo
dajmono	dajmono
dakrioadenito	dakrioadenito
dakriocistito	dakriocistito
dakriocisto	dakriocisto
daktiliso	daktiliso
daktiloskopio	daktiloskopio
dalbergio	dalbergio
daltonulo	daltonulo
damaro	damaro
datenopo	datenopo
davalio	davalio
dazipedoj	dazipedoj
dazipodedoj	dazipodedoj
daŭfeno	daŭfeno
daŭko	daŭko
debila	debila
debileco	debileco
debiliga	debiliga
defensejo	defensejo
defensi	defensi
defeti	defeti
defetisto	defetisto
deikto	deikto
dejo	dejo
dekadenĉo	dekadenĉo
dekalino	dekalino
dekapodoj	dekapodoj
dekati	dekati
dekatlono	dekatlono
dekilo	dekilo
dekubito	dekubito
delekti	delekti
delektinda	delektinda
delektiĝi	delektiĝi
deleĝi	deleĝi
deliktinto	deliktinto
deloniko	deloniko
deltametalo	deltametalo
deltaplano	deltaplano
demagoĝo	demagoĝo
demimondo	demimondo
demiurgo	demiurgo
demodekso	demodekso
demodeksozo	demodeksozo
demonologio	demonologio
dendrito	dendrito
dendrokronologio	dendrokronologio
dendrokronologo	dendrokronologo
dendrolago	dendrolago
dendrologio	dendrologio
dengo	dengo
denotacio	denotacio
densometrio	densometrio
denstetio	denstetio
dentino	dentino
dentizi	dentizi
dentizilo	dentizilo
dentumita	dentumita
dentumo	dentumo
deodaro	deodaro
deoksi	deoksi
deontologio	deontologio
deploji	deploji
depravacio	depravacio
deprecado	deprecado
depreci	depreci
depreco	depreco
depresia	depresia
depresora	depresora
dermapteroj	dermapteroj
dermato	dermato
dermesto	dermesto
dermopteroj	dermopteroj
dero	dero
desapontiĝi	desapontiĝi
desmosomo	desmosomo
despero	despero
detempro	detempro
detonaciigi	detonaciigi
detonaciigilo	detonaciigilo
detonaciivo	detonaciivo
detrita	detrita
detrito	detrito
deviaciismo	deviaciismo
deviacio	deviacio
dezajni	dezajni
dezajnisto	dezajnisto
dezajno	dezajno
deŭteromicetoj	deŭteromicetoj
di	di
diafanoskopio	diafanoskopio
diagenezo	diagenezo
diagnostiko	diagnostiko
diagnoziko	diagnoziko
diaklazo	diaklazo
diakrita	diakrita
diakrona	diakrona
dialefo	dialefo
dialipetaloj	dialipetaloj
dialoĝo	dialoĝo
diapaŭzo	diapaŭzo
diapedezo	diapedezo
diapsidoj	diapsidoj
diasporo	diasporo
diastrofismo	diastrofismo
diatomeoj	diatomeoj
diatomito	diatomito
diazo	diazo
diazometano	diazometano
diazoniigi	diazoniigi
diazonio	diazonio
didaskalio	didaskalio
didelfedoj	didelfedoj
didimo	didimo
dieno	dieno
dieŝo	dieŝo
difenbakio	difenbakio
difeomorfa	difeomorfa
difeomorfia	difeomorfia
difeomorfio	difeomorfio
difeomorfo	difeomorfo
difilobotrio	difilobotrio
diftonĝo	diftonĝo
digamo	digamo
digestujo	digestujo
digitario	digitario
digitoksino	digitoksino
digitopunkturo	digitopunkturo
diglosio	diglosio
digresio	digresio
dikariono	dikariono
dikotiledonoj	dikotiledonoj
dikotoma	dikotoma
dikotomeco	dikotomeco
dikroa	dikroa
dikroeco	dikroeco
dikroismo	dikroismo
diktiosomaro	diktiosomaro
diktiosomo	diktiosomo
dilatatoro	dilatatoro
dilatujo	dilatujo
dilenio	dilenio
diminuendo	diminuendo
diminui	diminui
dimorfa	dimorfa
dimorfeco	dimorfeco
dimorfismo	dimorfismo
diodonto	diodonto
diofanta	diofanta
dioksano	dioksano
diomedeo	diomedeo
dioneo	dioneo
dioptro	dioptro
diorito	diorito
dioskoreino	dioskoreino
dioskoreo	dioskoreo
diospiro	diospiro
diploida	diploida
diplokoko	diplokoko
diplomologio	diplomologio
diploo	diploo
diplopio	diplopio
diplopodoj	diplopodoj
dipnoj	dipnoj
dipodedoj	dipodedoj
diporto	diporto
dipterokarpacoj	dipterokarpacoj
dipterokarpo	dipterokarpo
direktismo	direktismo
dirko	dirko
disaĝio	disaĝio
diselo	diselo
disjunkcio	disjunkcio
diskedo	diskedo
diskomicetoj	diskomicetoj
diskrecio	diskrecio
diskriminilo	diskriminilo
dismenoreo	dismenoreo
dismo	dismo
disoma	disoma
dispneo	dispneo
disproporcio	disproporcio
dista	dista
distanĉo	distanĉo
distribucio	distribucio
distribŭi	distribŭi
ditografio	ditografio
diurezilo	diurezilo
divertikulektomio	divertikulektomio
divertikulo	divertikulo
diverĝeco	diverĝeco
diĝesto	diĝesto
docetismo	docetismo
dodekaedro	dodekaedro
dodekafona	dodekafona
dodekafonio	dodekafonio
dodekafonismo	dodekafonismo
dodoico	dodoico
dogero	dogero
dojno	dojno
dokta	dokta
dolikoto	dolikoto
dolino	dolino
dolio	dolio
doliĥoto	doliĥoto
dolmano	dolmano
dolo	dolo
dolomito	dolomito
dolomitpetro	dolomitpetro
domanio	domanio
domineco	domineco
donacio	donacio
donako	donako
dopantaĵo	dopantaĵo
dopanto	dopanto
dopilo	dopilo
dora	dora
dorido	dorido
dorika	dorika
doriso	doriso
dornumita	dornumita
dorsantaŭa	dorsantaŭa
drabo	drabo
draceno	draceno
drakocefalo	drakocefalo
drakoni	drakoni
draĝeo	draĝeo
drimio	drimio
drimiso	drimiso
driopterido	driopterido
drola	drola
dromiceo	dromiceo
dromio	dromio
dromo	dromo
dropso	dropso
drozofiledoj	drozofiledoj
drumo	drumo
duaro	duaro
dubleo	dubleo
duenjo	duenjo
duflo	duflo
dukdalbo	dukdalbo
dumduma	dumduma
dupo	dupo
durativo	durativo
durio	durio
duteto	duteto
